Cafe Name,Location,Open,Close,Coffee,Wifi,Power,10pm
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌,
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌,
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌,
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌,
Angela's Cafe,https://www.fjlkjlksdjfsdf.com,9AM,5PM,☕☕☕☕☕,💪💪💪,🔌🔌,
sdfsdf,https://www.fjlkjlksdjfsdf.com,sdfsdf,sdfsdf,☕️,✘,✘,
My Cafe,https://example.com,10AM,6PM,☕☕☕,💪,🔌🔌,
My Cafe,https://example.com,10AM,6PM,☕☕☕,💪,🔌🔌,
My Cafe,https://example.com,10AM,6PM,☕☕☕,💪,🔌🔌,
test,biyerler,10am,,☕☕☕,💪💪,✘,6PM
